,original_table_index,img_url,img_name,year
270,270,https://upload.wikimedia.org/wikipedia/commons/9/9c/Self-Portrait1.jpg,Self-Portrait,Autumn 1886
271,271,https://upload.wikimedia.org/wikipedia/commons/6/6d/Van_Gogh_-_Selbstbildnis_mit_Pfeife1.jpeg,Self-Portrait with Pipe,1886
272,272,https://upload.wikimedia.org/wikipedia/commons/5/59/Van_Gogh_-_Selbstbildnis_mit_Filzhut_vor_der_Staffelei.jpeg,Self-Portrait with Dark Felt Hat at the Easel,1886
278,278,https://upload.wikimedia.org/wikipedia/commons/4/42/Van_Gogh_-_Selbstbildnis_mit_Pfeife.jpeg,Self-Portrait with Pipe,1886
279,279,https://upload.wikimedia.org/wikipedia/commons/a/ac/Van_Gogh_-_Selbstbildnis_mit_dunklem_Filzhut.jpeg,Self-Portrait with Dark Felt Hat,1886
374,374,https://upload.wikimedia.org/wikipedia/commons/d/dd/Van_Gogh_Self-Portrait_with_Grey_Felt_Hat_1886-87_Rijksmuseum.jpg,Self-Portrait with Grey Felt Hat,1886-87
376,376,https://upload.wikimedia.org/wikipedia/commons/2/22/Van_Gogh_-_Selbstbildnis_mit_Strohhut1.jpeg,Self-Portrait with Felt Hat (reverse image),1887
378,378,https://upload.wikimedia.org/wikipedia/commons/f/fe/Van_Gogh_-_Selbsbildnis13.jpeg,Self-Portrait,1887
379,379,https://upload.wikimedia.org/wikipedia/commons/1/1e/Van_Gogh_-_Selbstbildnis_mit_Strohhut_und_Pfeife.jpeg,Self-Portrait with Straw Hat and a Pipe (reverse image),1887
385,385,https://upload.wikimedia.org/wikipedia/commons/d/d3/Van_Gogh_-_Selbstbildnis_mit_Pfeife_und_Glas.jpeg,Self-Portrait with Pipe and Glass,1887
387,387,https://upload.wikimedia.org/wikipedia/commons/c/c8/Self-Portrait2.jpg,Self-Portrait,1887
388,388,https://upload.wikimedia.org/wikipedia/commons/4/45/Self-Portrait6.jpg,Self-Portrait,1887
389,389,https://upload.wikimedia.org/wikipedia/commons/3/30/Self-Portrait7.jpg,Self-Portrait,1887
400,400,https://upload.wikimedia.org/wikipedia/commons/f/f7/Vincent_Willem_van_Gogh_108.jpg,Self-Portrait with Grey Felt Hat,1887
426,426,https://upload.wikimedia.org/wikipedia/commons/7/7a/Van_Gogh_-_Selbstbildnis_mit_japanischen_Druck.jpeg,Self-Portrait with a Japanese Print,1887
427,427,https://upload.wikimedia.org/wikipedia/commons/d/d0/Van_Gogh_Self-Portrait_Autumn_1887.jpg,Self-Portrait,1887
447,447,https://upload.wikimedia.org/wikipedia/commons/3/38/VanGogh_1887_Selbstbildnis.jpg,Self-Portrait,1887
457,458,https://upload.wikimedia.org/wikipedia/commons/c/c0/Self-Portrait4.jpg,Self-Portrait,1887
476,477,https://upload.wikimedia.org/wikipedia/commons/d/d5/Self-Portrait3.jpg,Self-Portrait,1887
482,483,https://upload.wikimedia.org/wikipedia/commons/5/57/Vincent_van_Gogh_-_Zelfportret_-_Google_Art_Project.jpg,Self-Portrait with Straw Hat,1887
483,484,https://upload.wikimedia.org/wikipedia/commons/f/f8/Vincent_Willem_van_Gogh_110.jpg,Self-Portrait with Straw Hat and Pipe,1887
484,485,https://upload.wikimedia.org/wikipedia/commons/9/95/Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Detroit.jpg,Self-Portrait with Straw Hat,1887
490,491,https://upload.wikimedia.org/wikipedia/commons/1/1e/Van_Gogh_-_Selbstbildnisse.jpeg,Self-Portraits (pencil and ink),1887
496,497,https://upload.wikimedia.org/wikipedia/commons/6/60/Vincent_Willem_van_Gogh_107.jpg,Self-Portrait with Felt Hat,1887-1888
497,498,https://upload.wikimedia.org/wikipedia/commons/a/a8/Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Metropolitan.jpg,Self-Portrait with Straw Hat,1887–88
498,499,https://upload.wikimedia.org/wikipedia/commons/3/3a/Van_Gogh_-_Selbstbildnis_29.jpeg,Self-Portrait,Winter 1887-88
581,582,https://upload.wikimedia.org/wikipedia/commons/8/8e/Van_Gogh_self-portrait_dedicated_to_Gauguin.jpg,Self-Portrait (Dedicated to Paul Gauguin),1888
604,605,https://upload.wikimedia.org/wikipedia/commons/c/c6/Van_Gogh_-_Selbstbildnis34.jpeg,"Self-Portrait (Green Background, 3/4 Profile)",1888
609,610,https://upload.wikimedia.org/wikipedia/commons/3/3a/Vincent_van_Gogh_-_Zelfportret_als_schilder_%281888%29.jpg,Self-Portrait as an Artist,1888
610,611,https://upload.wikimedia.org/wikipedia/commons/2/26/Van_Gogh_-_Selbstbildnis_mit_Strohhut_und_Pfeife2.jpeg,Self-Portrait with Pipe and Straw Hat,1888
684,685,https://upload.wikimedia.org/wikipedia/commons/7/71/Vincent_Willem_van_Gogh_102.jpg,Self-Portrait without Beard also Portrait de l'artiste sans barbe †,1889
685,686,https://upload.wikimedia.org/wikipedia/commons/f/f3/Van_Gogh_-_Selbstbildnis_mit_verbundenem_Ohr.jpeg,Self-Portrait with Bandaged Ear,1889
686,687,https://upload.wikimedia.org/wikipedia/commons/a/a4/Vincent_Willem_van_Gogh_106.jpg,Self-Portrait with Bandaged Ear and Pipe,1889
715,716,https://upload.wikimedia.org/wikipedia/commons/3/32/Vincent_van_Gogh_-_National_Gallery_of_Art.JPG,Self-Portrait,1889
716,717,https://upload.wikimedia.org/wikipedia/commons/e/ee/Self-Portrait_%28Van_Gogh_September_1889%29.jpg,Self-Portrait,1889
